"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Dracolich","MM'25","102","Huge or Gargantuan","Undead","lawful evil","20","225 (18d12 + 108)","40 ft., Burrow 30 ft., Fly 80 ft.","25","10","23","19","15","21","Dex +6, Wis +8","Perception +14, Stealth +6","","","necrotic, poison","charmed, exhaustion, frightened, paralyzed, poisoned","Blindsight 60 ft., Darkvision 120 ft., passive Perception 24","Common, Draconic","17 (XP 18,000, or 20,000 in lair; PB +6)","Legendary Resistance (3/Day, or 4/Day in Lair). If the dracolich fails a saving throw, it can choose to succeed instead.
Life Suppression. Creatures within 60 feet of the dracolich can't regain Hit Points.
Magic Resistance. The dracolich has Advantage on saving throws against spells and other magical effects.
Soul Gem. The dracolich has a magical gem. If the dracolich is destroyed while the gem is on the same plane of existence as it, the dracolich gains a new body in 1d20 days, regaining all its Hit Points and appearing within 5 feet of the gem.The gem is a Tiny object that has AC 20; HP 50; and Immunity to Necrotic, Poison, and Psychic damage. The gem regains all its Hit Points at the end of every turn, but it turns to dust if reduced to 0 Hit Points. If the gem is destroyed, the dracolich can create a new one by completing an 8-hour ritual using a gem worth 1,000+ GP and by expending 5,000 GP, which the ritual consumes.","Multiattack. The dracolich makes three Rend attacks. It can replace one attack with a use of Spellcasting to cast Ray of Sickness (level 2 version).
Rend. Melee Attack Roll: +13, reach 10 ft. Hit: 18 (2d10 + 7) Slashing damage plus 4 (1d8) Necrotic damage.
Necrotic Breath (Recharge 5–6). Constitution Saving Throw: DC 20, each creature in a 60-foot Cone. Failure: 52 (8d12) Necrotic damage. Success: Half damage.
Spellcasting. The dracolich casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 19, +11 to hit with spell attacks):At will: Detect Magic, Ray of Sickness (level 2 version)1/day each: Create Undead (level 8 version), Finger of Death","","","Pounce. The dracolich moves up to half its Speed, and it makes one Rend attack.
Sickening Ray. The dracolich uses Spellcasting to cast Ray of Sickness (level 2 version). The dracolich can't take this action again until the start of its next turn.
Terrifying Presence. Wisdom Saving Throw: DC 19, each creature in a 30-foot Emanation originating from the dracolich. Failure: 11 (2d10) Psychic damage, and the target has the Frightened condition until the end of its next turn. Failure or Success: The dracolich can't take this action again until the start of its next turn.","","","The region containing a dracolich's lair is warped by its presence, creating the following effects:Sapping Mist. The area within 1 mile of the lair is Lightly Obscured by pale fog. Whenever a creature other than the dracolich or one of its allies finishes a Long Rest in that area, it must succeed on a DC 15 Constitution saving throw or gain 1 Exhaustion level.Soul Drain. Creatures within 1 mile of the lair have Disadvantage on Death Saving Throws.If the dracolich is destroyed or moves its lair elsewhere, these effects end immediately. The effects resume if the dracolich gains a new body (see its Soul Gem trait).","Any","Any"
"Draconic Spirit","PHB'24","325","Large","Dragon","neutral","14 + the spell's level","50 + 10 for each spell level above 5","30 ft., Fly 60 ft., Swim 30 ft.","19","14","17","10","14","14","","","","acid, cold, fire, lightning, poison","","charmed, frightened, poisoned","Blindsight 30 ft., Darkvision 60 ft., passive Perception 12","Draconic, understands the languages you know","None (XP 0; PB equals your Proficiency Bonus)","Shared Resistances. When you summon the spirit, choose one of its Resistances. You have Resistance to the chosen damage type until the spell ends.","Multiattack. The spirit makes a number of Rend attacks equal to half the spell's level (round down), and it uses Breath Weapon.
Rend. Melee Attack: Bonus equals your spell attack modifier, reach 10 feet. Hit: 1d6 + 4 + the spell's level Piercing damage.
Breath Weapon. Dexterity Saving Throw: DC equals your spell save DC, each creature in a 30-foot Cone. Failure: 2d6 damage of a type this spirit has Resistance to (your choice when you cast the spell). Success: Half damage.","","","","","","","",""
"Draft Horse","MM'25","352","Large","Beast","unaligned","10","15 (2d10 + 4)","40 ft.","18","10","15","2","11","7","","","","","","","passive Perception 10","—","1/4 (XP 50; PB +2)","","Hooves. Melee Attack Roll: +6, reach 5 ft. Hit: 6 (1d4 + 4) Bludgeoning damage.","","","","","","","Urban",""
"Dragon Turtle","MM'25","103","Gargantuan","Dragon","neutral","20","356 (23d20 + 115)","20 ft., Swim 50 ft.","25","10","20","10","12","12","Con +11, Wis +7","","","fire","","","Darkvision 120 ft., passive Perception 11","Draconic, Primordial (Aquan)","17 (XP 18,000; PB +6)","Amphibious. The dragon can breathe air and water.","Multiattack. The dragon makes three Bite attacks. It can replace one attack with a Tail attack.
Bite. Melee Attack Roll: +13, reach 15 ft. Hit: 23 (3d10 + 7) Piercing damage plus 7 (2d6) Fire damage. Being underwater doesn't grant Resistance to this Fire damage.
Tail. Melee Attack Roll: +13, reach 15 ft. Hit: 18 (2d10 + 7) Bludgeoning damage. If the target is a Huge or smaller creature, it has the Prone condition.
Steam Breath (Recharge 5–6). Constitution Saving Throw: DC 19, each creature in a 60-foot Cone. Failure: 56 (16d6) Fire damage. Success: Half damage. Failure or Success: Being underwater doesn't grant Resistance to this Fire damage.","","","","","","","Coastal, Underwater","Any"
"Dretch","MM'25","103","Small","Fiend (Demon)","chaotic evil","11","18 (4d6 + 4)","20 ft.","12","11","12","5","8","3","","","","cold, fire, lightning","poison","poisoned","Darkvision 60 ft., passive Perception 9","Abyssal; telepathy 60 ft. (works only with creatures that understand Abyssal)","1/4 (XP 50; PB +2)","","Rend. Melee Attack Roll: +3, reach 5 ft. Hit: 4 (1d6 + 1) Slashing damage.
Fetid Cloud (1/Day). Constitution Saving Throw: DC 11, each creature in a 10-foot Emanation originating from the dretch. Failure: The target has the Poisoned condition until the end of its next turn. While Poisoned, the creature can take either an action or a Bonus Action on its turn, not both, and it can't take Reactions.","","","","","","","Planar (Abyss)",""
"Drider","MM'25","105","Large","Monstrosity","chaotic evil","19","123 (13d10 + 52)","30 ft., Climb 30 ft.","16","19","18","13","16","12","","Perception +6, Stealth +10","","","","","Darkvision 120 ft., passive Perception 16","Elvish, Undercommon","6 (XP 2,300; PB +3)","Spider Climb. The drider can climb difficult surfaces, including along ceilings, without needing to make an ability check.
Sunlight Sensitivity. While in sunlight, the drider has Disadvantage on ability checks and attack rolls.
Web Walker. The drider ignores movement restrictions caused by webs, and the drider knows the location of any other creature in contact with the same web.","Multiattack. The drider makes three attacks, using Foreleg or Poison Burst in any combination.
Foreleg. Melee Attack Roll: +7, reach 10 ft. Hit: 13 (2d8 + 4) Piercing damage.
Poison Burst. Ranged Attack Roll: +6, range 120 ft. Hit: 13 (3d6 + 3) Poison damage.","Magic of the Spider Queen (Recharge 5–6). The drider casts Darkness, Faerie Fire, or Web, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 14).","","","","","","Forest, Underdark","Armaments"
"Druid","MM'25","106","Small or Medium","Humanoid","neutral","13","44 (8d8 + 8)","30 ft.","10","12","13","12","16","11","","Medicine +5, Nature +3, Perception +5","","","","","passive Perception 15","Common, Druidic, Sylvan","2 (XP 450; PB +2)","","Multiattack. The druid makes two attacks, using Vine Staff or Verdant Wisp in any combination.
Vine Staff. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3) Bludgeoning damage plus 2 (1d4) Poison damage.
Spellcasting. The druid casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 13):At will: Druidcraft, Speak with Animals2/day each: Entangle, Thunderwave1/day each: Animal Messenger, Longstrider, Moonbeam
Verdant Wisp. Ranged Attack Roll: +5, range 90 ft. Hit: 10 (3d6) Radiant damage.","","","","","","","Any","Individual, Relics"
"Dryad","MM'25","107","Medium","Fey","neutral","16","22 (5d8)","30 ft.","10","12","11","14","15","18","","Perception +4, Stealth +5","","","","","Darkvision 60 ft., passive Perception 14","Elvish, Sylvan","1 (XP 200; PB +2)","Magic Resistance. The dryad has Advantage on saving throws against spells and other magical effects.
Speak with Beasts and Plants. The dryad can communicate with Beasts and Plants as if they shared a language.","Multiattack. The dryad makes one Vine Lash or Thorn Burst attack, and it can use Spellcasting to cast Charm Monster.
Vine Lash. Melee Attack Roll: +6, reach 10 ft. Hit: 8 (1d8 + 4) Slashing damage.
Spellcasting. The dryad casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 14):At will: Animal Friendship, Charm Monster (lasts 24 hours; ends early if the dryad casts the spell again), Druidcraft1/day each: Entangle, Pass without Trace
Thorn Burst. Ranged Attack Roll: +6, range 60 ft. Hit: 7 (1d6 + 4) Piercing damage.","Tree Stride. If within 5 feet of a Large or bigger tree, the dryad teleports to an unoccupied space within 5 feet of a second Large or bigger tree that is within 60 feet of the previous tree.","","","","","","Forest","Any"
"Dust Mephit","MM'25","206","Small","Elemental","neutral evil","12","17 (5d6)","30 ft., Fly 30 ft.","5","14","10","9","11","10","","Perception +2, Stealth +4","fire","","poison","exhaustion, poisoned","Darkvision 60 ft., passive Perception 12","Primordial (Auran, Terran)","1/2 (XP 100; PB +2)","Death Burst. The mephit explodes when it dies. Dexterity Saving Throw: DC 10, each creature in a 5-foot Emanation originating from the mephit. Failure: 5 (2d4) Bludgeoning damage. Success: Half damage.","Claw. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Slashing damage.
Blinding Breath (Recharge 6). Dexterity Saving Throw: DC 10, each creature in a 15-foot Cone. Failure: The target has the Blinded condition until the end of the mephit's next turn.
Sleep (1/Day). The mephit casts the Sleep spell, requiring no spell components and using Charisma as the spellcasting ability (spell save DC 10).","","","","","","","Planar (Elemental Planes)",""
"Eagle","MM'25","353","Small","Beast","unaligned","12","4 (1d6 + 1)","10 ft., Fly 60 ft.","6","15","12","2","14","7","","Perception +6","","","","","passive Perception 16","—","0 (XP 10; PB +2)","","Talons. Melee Attack Roll: +4, reach 5 feet. Hit: 4 (1d4 + 2) Slashing damage.","","","","","","","Coastal, Grassland, Hill, Mountain",""
"Earth Elemental","MM'25","108","Large","Elemental","neutral","17","147 (14d10 + 70)","30 ft., Burrow 30 ft.","20","8","20","5","10","5","","","thunder","","poison","exhaustion, paralyzed, petrified, poisoned, unconscious","Darkvision 60 ft., Tremorsense 60 ft., passive Perception 10","Primordial (Terran)","5 (XP 1,800; PB +3)","Earth Glide. The elemental can burrow through nonmagical, unworked earth and stone. While doing so, the elemental doesn't disturb the material it moves through.
Siege Monster. The elemental deals double damage to objects and structures.","Multiattack. The elemental makes two attacks, using Slam or Rock Launch in any combination.
Slam. Melee Attack Roll: +8, reach 10 ft. Hit: 14 (2d8 + 5) Bludgeoning damage.
Rock Launch. Ranged Attack Roll: +8, range 60 ft. Hit: 8 (1d6 + 5) Bludgeoning damage. If the target is a Large or smaller creature, it has the Prone condition.","","","","","","","Mountain, Planar (Elemental Plane of Earth), Underdark",""
"Efreeti","MM'25","109","Large","Elemental (Genie)","neutral","17","212 (17d10 + 119)","40 ft., Fly 60 ft. (hover)","22","12","24","16","15","19","Wis +6, Cha +8","","","","fire","","Darkvision 120 ft., passive Perception 12","Primordial (Ignan)","11 (XP 7,200; PB +4)","Elemental Restoration. If the efreeti dies outside the Elemental Plane of Fire, its body dissolves into ash, and it gains a new body in 1d4 days, reviving with all its Hit Points somewhere on the Plane of Fire.
Magic Resistance. The efreeti has Advantage on saving throws against spells and other magical effects.
Wishes. The efreeti has a 30 percent chance of knowing the Wish spell. If the efreeti knows it, the efreeti can cast it only on behalf of a non-genie creature who communicates a wish in a way the efreeti can understand. If the efreeti casts the spell for the creature, the efreeti suffers none of the spell's stress. Once the efreeti has cast it three times, the efreeti can't do so again for 365 days.","Multiattack. The efreeti makes three attacks, using Heated Blade or Hurl Flame in any combination.
Heated Blade. Melee Attack Roll: +10, reach 5 ft. Hit: 13 (2d6 + 6) Slashing damage plus 13 (2d12) Fire damage.
Hurl Flame. Ranged Attack Roll: +8, range 120 ft. Hit: 24 (7d6) Fire damage.
Spellcasting. The efreeti casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 16):At will: Detect Magic, Elementalism1/day each: Gaseous Form, Invisibility, Major Image, Plane Shift, Tongues, Wall of Fire (level 7 version)","","","","","","","Desert, Planar (Elemental Plane of Fire)","Armaments"
"Elemental Cataclysm","MM'25","111","Gargantuan","Elemental (Titan)","chaotic neutral","20","370 (20d20 + 160)","60 ft., Burrow 60 ft., Fly 80 ft. (hover), Swim 80 ft.","26","19","27","9","14","9","Dex +11, Con +15, Wis +9, Cha +6","","","","acid, cold, fire, lightning, poison, thunder","blinded, charmed, deafened, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned, unconscious","Truesight 150 ft., passive Perception 12","Primordial","22 (XP 41,000; PB +7)","Earth Glide. The cataclysm can burrow through nonmagical, unworked earth and stone. While doing so, the cataclysm doesn't disturb the material it moves through.
Legendary Resistance (4/Day). If the cataclysm fails a saving throw, it can choose to succeed instead.
Siege Monster. The cataclysm deals double damage to objects and structures.","Multiattack. The cataclysm makes two Elemental Burst attacks.
Control Weather. The cataclysm casts the Control Weather spell, requiring no spell components and using Constitution as the spellcasting ability.
Elemental Burst. Melee or Ranged Attack Roll: +15, reach 30 ft. or range 150 ft. Hit: 25 (5d6 + 8) damage of a type chosen by the cataclysm: Acid, Cold, Fire, Lightning, or Thunder.
Cataclysmic Event (Recharge 4–6). The cataclysm creates one of the following effects at random (roll 1d4):1: Clinging Flames. Dexterity Saving Throw: DC 23, each creature in a 60-foot-radius Sphere centered on a point the cataclysm can see within 150 feet. Failure: 45 (13d6) Fire damage. Success: Half damage. Failure or Success: The target starts burning.2: Freezing Waves. Strength Saving Throw: DC 23, each creature in a 90-foot Cone. Failure: 22 (5d8) Bludgeoning damage plus 22 (5d8) Cold damage, and the target has the Prone condition. Success: Half damage only. Failure or Success: The target's Speed is reduced to 0 until the end of its next turn.3: Raging Storm. A storm cloud fills a 60-foot-radius Sphere centered on a point the cataclysm can see within 150 feet. The cloud lasts for 1 minute or until the cataclysm uses Cataclysmic Event again. Creatures entirely in the cloud have the Blinded and Deafened conditions and can't cast spells with a Verbal component. Dexterity Saving Throw: DC 23, each creature that enters the cloud for the first time on a turn or starts its turn there. Failure: 18 (4d8) Lightning damage plus 18 (4d8) Thunder damage. Success: Half damage.4: Swallowing Earth. Strength Saving Throw: DC 23, each creature in a 90-foot Cube originating from a point on the ground within 150 feet. Failure: 18 (4d8) Bludgeoning damage plus 18 (4d8) Acid damage, and the target has the Prone condition and is buried under rubble. A buried target has the Restrained condition, has Total Cover, and is suffocating. As an action, a buried creature or another creature within 5 feet of it can make a DC 18 Strength (Athletics) check. On a successful check, the creature is no longer buried. Success: Half damage only.","","","Eruption. The cataclysm makes one Elemental Burst attack.
Rumbling Movement. The cataclysm moves up to its Speed, Fly Speed, or Swim Speed without provoking Opportunity Attacks. Each creature within 5 feet of the cataclysm as it moves is targeted once by the following effect. Constitution Saving Throw: DC 23. Failure: The target has the Prone condition. Failure or Success: The cataclysm can't take this action again until the start of its next turn.","","","","Planar (Elemental Chaos)",""
